,Team,Year,W,L,Pct,Attend,Payroll,OPS,ERA
174,Chicago Cubs,2014,73,89,0.4506172839506173,2652113,89007857,0.684,3.91
175,Los Angeles Dodgers,2014,94,68,0.5802469135802469,3782337,235295219,0.738,3.4
176,San Francisco Giants,2014,88,74,0.5432098765432098,3368697,154185878,0.6990000000000001,3.5
177,San Diego Padres,2014,77,85,0.4753086419753086,2195373,90094196,0.634,3.27
178,Colorado Rockies,2014,66,96,0.4074074074074074,2680329,95832071,0.772,4.84
179,Arizona Diamondbacks,2014,64,98,0.3950617283950617,2073730,112688666,0.6779999999999999,4.26
180,Boston Red Sox,2013,97,65,0.5987654320987654,2833333,158967286,0.795,3.79
181,Tampa Bay Rays,2013,92,71,0.5644171779141104,1510300,57030272,0.737,3.74
182,Baltimore Orioles,2013,85,77,0.5246913580246914,2357561,91793333,0.7440000000000001,4.2
183,New York Yankees,2013,85,77,0.5246913580246914,3279589,228995945,0.6829999999999999,3.94
184,Toronto Blue Jays,2013,74,88,0.4567901234567901,2536562,118244039,0.7290000000000001,4.25
185,Detroit Tigers,2013,93,69,0.5740740740740741,3083397,149046844,0.78,3.61
186,Cleveland Indians,2013,92,70,0.5679012345679012,1572926,82517300,0.737,3.82
187,Kansas City Royals,2013,86,76,0.5308641975308642,1750754,80491725,0.6940000000000001,3.45
188,Minnesota Twins,2013,66,96,0.4074074074074074,2477644,75562500,0.6920000000000001,4.55
189,Chicago White Sox,2013,63,99,0.3888888888888889,1768413,124065277,0.68,3.98
190,Oakland Athletics,2013,96,66,0.5925925925925926,1809302,68577000,0.745,3.56
191,Texas Rangers,2013,91,72,0.558282208588957,3178273,127197575,0.735,3.62
192,Los Angeles Angels,2013,78,84,0.4814814814814815,3019505,142165250,0.743,4.23
193,Seattle Mariners,2013,71,91,0.4382716049382716,1761546,84295952,0.695,4.31
194,Houston Astros,2013,51,111,0.3148148148148148,1651883,24328538,0.674,4.79
195,Atlanta Braves,2013,96,66,0.5925925925925926,2548679,89288193,0.723,3.18
196,Washington Nationals,2013,86,76,0.5308641975308642,2652422,112431770,0.71,3.59
197,New York Mets,2013,74,88,0.4567901234567901,2135657,88877033,0.672,3.77
198,Philadelphia Phillies,2013,73,89,0.4506172839506173,3012403,159578214,0.69,4.32
199,Miami Marlins,2013,62,100,0.382716049382716,1586322,39621900,0.627,3.71
200,St. Louis Cardinals,2013,97,65,0.5987654320987654,3369769,116702085,0.733,3.42
201,Pittsburgh Pirates,2013,94,68,0.5802469135802469,2256862,66289524,0.7090000000000001,3.26
202,Cincinnati Reds,2013,90,72,0.5555555555555556,2492101,110565728,0.718,3.38
203,Milwaukee Brewers,2013,74,88,0.4567901234567901,2531105,91003366,0.708,3.84
204,Chicago Cubs,2013,66,96,0.4074074074074074,2642682,104150726,0.693,4.0
205,Los Angeles Dodgers,2013,92,70,0.5679012345679012,3743527,216302909,0.722,3.25
206,Arizona Diamondbacks,2013,81,81,0.5,2134895,90158500,0.715,3.92
207,San Diego Padres,2013,76,86,0.4691358024691358,2166691,71689900,0.6859999999999999,3.98
208,San Francisco Giants,2013,76,86,0.4691358024691358,3369106,142180333,0.7020000000000001,4.0
209,Colorado Rockies,2013,74,88,0.4567901234567901,2793828,75449071,0.741,4.44
210,New York Yankees,2012,95,67,0.5864197530864198,3542406,197962289,0.79,3.84
211,Baltimore Orioles,2012,93,69,0.5740740740740741,2102240,81428999,0.728,3.9
212,Tampa Bay Rays,2012,90,72,0.5555555555555556,1559681,64173500,0.711,3.19
213,Toronto Blue Jays,2012,73,89,0.4506172839506173,2099663,75489200,0.716,4.64
214,Boston Red Sox,2012,69,93,0.4259259259259259,3043003,173186617,0.73,4.7
215,Detroit Tigers,2012,88,74,0.5432098765432098,3028033,132300000,0.757,3.75
216,Chicago White Sox,2012,85,77,0.5246913580246914,1965955,96919500,0.74,4.02
217,Kansas City Royals,2012,72,90,0.4444444444444444,1739859,60916225,0.716,4.3
218,Cleveland Indians,2012,68,94,0.41975308641975306,1603596,78430300,0.705,4.78
219,Minnesota Twins,2012,66,96,0.4074074074074074,2776354,94085000,0.715,4.77
220,Oakland Athletics,2012,94,68,0.5802469135802469,1679013,55372500,0.7140000000000001,3.48
221,Texas Rangers,2012,93,69,0.5740740740740741,3460280,120510974,0.78,3.99
222,Los Angeles Angels,2012,89,73,0.5493827160493827,3061770,154485166,0.764,4.02
223,Seattle Mariners,2012,75,87,0.462962962962963,1721920,117620683,0.665,3.76
224,Washington Nationals,2012,98,64,0.6049382716049383,2370794,81336143,0.75,3.33
225,Atlanta Braves,2012,94,68,0.5802469135802469,2420171,83309942,0.7090000000000001,3.42
226,Philadelphia Phillies,2012,81,81,0.5,3565718,174538938,0.716,3.83
227,New York Mets,2012,74,88,0.4567901234567901,2242803,93353983,0.701,4.09
228,Miami Marlins,2012,69,93,0.4259259259259259,2219444,118078000,0.69,4.09
229,Cincinnati Reds,2012,97,65,0.5987654320987654,2347251,82203616,0.726,3.34
230,St. Louis Cardinals,2012,88,74,0.5432098765432098,3262109,110300862,0.759,3.71
231,Milwaukee Brewers,2012,83,79,0.5123456790123457,2831385,97653944,0.762,4.22
232,Pittsburgh Pirates,2012,79,83,0.4876543209876543,2091918,63431999,0.6990000000000001,3.86
233,Chicago Cubs,2012,61,101,0.3765432098765432,2882756,88197033,0.68,4.51
234,Houston Astros,2012,55,107,0.3395061728395062,1607733,60651000,0.6729999999999999,4.56
235,San Francisco Giants,2012,94,68,0.5802469135802469,3377371,81978100,0.7240000000000001,3.68
236,Los Angeles Dodgers,2012,86,76,0.5308641975308642,3324246,95143575,0.69,3.34
237,Arizona Diamondbacks,2012,81,81,0.5,2177617,74284833,0.746,3.93
238,San Diego Padres,2012,76,86,0.4691358024691358,2123721,55244700,0.6990000000000001,4.01
239,Colorado Rockies,2012,64,98,0.3950617283950617,2630458,78069571,0.7659999999999999,5.22
240,New York Yankees,2011,97,65,0.5987654320987654,3653680,202689028,0.7879999999999999,3.73
241,Tampa Bay Rays,2011,91,71,0.5617283950617284,1529188,41053571,0.7240000000000001,3.58
242,Boston Red Sox,2011,90,72,0.5555555555555556,3054001,161762475,0.81,4.2
243,Toronto Blue Jays,2011,81,81,0.5,1818103,62567800,0.73,4.32
244,Baltimore Orioles,2011,69,93,0.4259259259259259,1755461,85304038,0.7290000000000001,4.89
245,Detroit Tigers,2011,95,67,0.5864197530864198,2642045,105700231,0.773,4.04
246,Cleveland Indians,2011,80,82,0.4938271604938271,1840835,49190566,0.7140000000000001,4.23
247,Chicago White Sox,2011,79,83,0.4876543209876543,2001117,127789000,0.706,4.1
248,Kansas City Royals,2011,71,91,0.4382716049382716,1724450,36126000,0.7440000000000001,4.44
249,Minnesota Twins,2011,63,99,0.3888888888888889,3168116,112737000,0.6659999999999999,4.58
250,Texas Rangers,2011,96,66,0.5925925925925926,2946949,92299264,0.8,3.79
251,Los Angeles Angels,2011,86,76,0.5308641975308642,3166321,138543166,0.7140000000000001,3.57
252,Oakland Athletics,2011,74,88,0.4567901234567901,1476791,66536500,0.68,3.71
253,Seattle Mariners,2011,67,95,0.41358024691358025,1896321,86524600,0.64,3.9
254,Philadelphia Phillies,2011,102,60,0.6296296296296297,3680718,172976379,0.7170000000000001,3.02
255,Atlanta Braves,2011,89,73,0.5493827160493827,2372940,87002692,0.695,3.48
256,Washington Nationals,2011,80,81,0.4968944099378882,1940478,63856928,0.691,3.58
257,New York Mets,2011,77,85,0.4753086419753086,2352596,118847309,0.725,4.19
258,Miami Marlins,2011,72,90,0.4444444444444444,1520562,56944000,0.706,3.95
259,Milwaukee Brewers,2011,96,66,0.5925925925925926,3071373,85497333,0.75,3.63
260,St. Louis Cardinals,2011,90,72,0.5555555555555556,3093954,105433572,0.7659999999999999,3.74
261,Cincinnati Reds,2011,79,83,0.4876543209876543,2213588,75947134,0.7340000000000001,4.16
262,Pittsburgh Pirates,2011,72,90,0.4444444444444444,1940429,45047000,0.6759999999999999,4.04
263,Chicago Cubs,2011,71,91,0.4382716049382716,3017966,125047329,0.715,4.33
264,Houston Astros,2011,56,106,0.34567901234567894,2067016,70694000,0.684,4.51
265,Arizona Diamondbacks,2011,94,68,0.5802469135802469,2105432,53639833,0.736,3.8
266,San Francisco Giants,2011,86,76,0.5308641975308642,3387303,118198333,0.6709999999999999,3.2
267,Los Angeles Dodgers,2011,82,79,0.5093167701863354,2935139,104188999,0.6970000000000001,3.54
268,Colorado Rockies,2011,73,89,0.4506172839506173,2909777,88148071,0.7390000000000001,4.43
269,San Diego Padres,2011,71,91,0.4382716049382716,2143018,45869140,0.653,3.42
270,Tampa Bay Rays,2010,96,66,0.5925925925925926,1864999,71923471,0.736,3.78
271,New York Yankees,2010,95,67,0.5864197530864198,3765807,206333389,0.7859999999999999,4.06
272,Boston Red Sox,2010,89,73,0.5493827160493827,3046445,162747333,0.79,4.2
273,Toronto Blue Jays,2010,85,77,0.5246913580246914,1495482,62689357,0.7659999999999999,4.22
